Gender,Age,Annual Income (k$),Spending Score (1-100)
1,0.019230769230769273,0.0,0.38775510204081626
1,0.05769230769230771,0.0,0.8163265306122448
0,0.03846153846153849,0.00849256900212314,0.05102040816326531
0,0.0961538461538462,0.00849256900212314,0.7755102040816326
0,0.25,0.01698513800424628,0.39795918367346933
0,0.07692307692307698,0.01698513800424628,0.7653061224489796
0,0.326923076923077,0.02547770700636942,0.05102040816326531
0,0.0961538461538462,0.02547770700636942,0.9489795918367346
1,0.8846153846153847,0.03397027600849256,0.020408163265306124
0,0.23076923076923084,0.03397027600849256,0.7244897959183673
1,0.9423076923076924,0.03397027600849256,0.13265306122448978
0,0.326923076923077,0.03397027600849256,0.9999999999999999
0,0.7692307692307693,0.0424628450106157,0.14285714285714282
0,0.11538461538461542,0.0424628450106157,0.7755102040816326
1,0.3653846153846154,0.0424628450106157,0.12244897959183672
1,0.07692307692307698,0.0424628450106157,0.7959183673469387
0,0.326923076923077,0.05095541401273884,0.346938775510204
1,0.03846153846153849,0.05095541401273884,0.6632653061224489
1,0.6538461538461539,0.06794055201698512,0.2857142857142857
0,0.326923076923077,0.06794055201698512,0.9897959183673468
1,0.326923076923077,0.07643312101910829,0.346938775510204
1,0.13461538461538464,0.07643312101910829,0.7346938775510203
0,0.5384615384615385,0.08492569002123143,0.04081632653061224
1,0.25,0.08492569002123143,0.7346938775510203
0,0.6923076923076924,0.11040339702760085,0.13265306122448978
1,0.21153846153846156,0.11040339702760085,0.8265306122448979
0,0.5192307692307693,0.11040339702760085,0.31632653061224486
1,0.326923076923077,0.11040339702760085,0.6122448979591836
0,0.42307692307692313,0.11889596602972399,0.3061224489795918
0,0.0961538461538462,0.11889596602972399,0.8775510204081631
1,0.8076923076923078,0.12738853503184713,0.030612244897959183
0,0.05769230769230771,0.12738853503184713,0.7346938775510203
1,0.6730769230769232,0.15286624203821655,0.030612244897959183
1,0.0,0.15286624203821655,0.9285714285714285
0,0.5961538461538463,0.15286624203821655,0.13265306122448978
0,0.05769230769230771,0.15286624203821655,0.8163265306122448
0,0.46153846153846156,0.1613588110403397,0.16326530612244897
0,0.23076923076923084,0.1613588110403397,0.7346938775510203
0,0.34615384615384615,0.18683651804670912,0.2551020408163265
0,0.03846153846153849,0.18683651804670912,0.7551020408163265
0,0.9038461538461539,0.19532908704883226,0.346938775510204
1,0.11538461538461542,0.19532908704883226,0.9285714285714285
1,0.576923076923077,0.2038216560509554,0.3571428571428571
0,0.25,0.2038216560509554,0.6122448979591836
0,0.5961538461538463,0.2038216560509554,0.2755102040816326
0,0.11538461538461542,0.2038216560509554,0.6530612244897959
0,0.6153846153846154,0.21231422505307854,0.5510204081632653
0,0.17307692307692313,0.21231422505307854,0.4693877551020408
0,0.21153846153846156,0.21231422505307854,0.4183673469387755
0,0.25,0.21231422505307854,0.4183673469387755
0,0.5961538461538463,0.22929936305732482,0.520408163265306
1,0.28846153846153855,0.22929936305732482,0.6020408163265305
0,0.25,0.23779193205944796,0.5408163265306122
1,0.7884615384615384,0.23779193205944796,0.6020408163265305
0,0.6153846153846154,0.23779193205944796,0.44897959183673464
1,0.5576923076923077,0.23779193205944796,0.4081632653061224
